GEOID20,District
42003004020,12
42003004030,12
4200300F970,12
42003004031,12
42003004040,12
42003004050,12
42003004060,12
42003004070,12
42003004080,12
42003004160,12
42003004090,12
42003004100,12
42003000411,17
42003004110,12
42003004120,12
42003004130,12
42003004140,12
42003004150,12
42003004170,12
42003004180,12
42003004190,12
42003004220,12
42003004191,12
42003004200,12
42003004210,12
42003004241,17
42003004245,17
42003004251,17
42003004255,17
42003004261,17
42003004271,17
42003000461,12
42003004281,17
42003004291,17
42003000430,17
42003004301,17
42003004311,17
42003004330,17
42003004331,17
42003004341,17
42003004350,17
42003004361,17
42003004371,17
42003004380,17
42003004391,17
42003004400,17
42003000441,12
42003000522,12
42003004410,17
42003004420,17
42003004430,17
42003004440,17
42003004451,17
42003000446,12
42003000562,12
42003004461,17
42003004470,17
42003004480,17
42003004490,17
42003004500,17
42003004510,17
42003000452,12
42003004520,17
42003004530,17
42003004540,17
42003004550,17
42003004560,17
42003004570,17
42003004580,17
42003004590,17
42003004600,17
42003004610,17
42003004620,17
42003004630,17
42003004640,17
42003004650,17
42003000551,12
42003000466,12
42003004670,17
42003004680,17
42003004690,17
42003004700,17
42003004710,17
42003000472,12
42003004721,17
42003004730,17
42003004741,12
42003004751,12
42003004780,12
42003004790,12
42003004800,12
4200300F800,12
42003000481,12
42003004810,12
42003004820,12
42003004830,12
42003004840,12
42003004850,12
42003000486,12
42003004860,12
4200300G390,12
42003004870,12
42003004880,12
42003004890,12
42003004900,12
42003004910,12
42003004920,17
42003000493,12
42003004930,17
42003004940,17
42003004950,12
42003004960,12
42003004971,12
42003004991,12
42003000050,17
42003005001,12
42003000501,12
42003005030,12
42003005041,12
42003005060,17
42003005071,17
42003005076,17
42003005081,17
42003005091,17
42003005100,12
42003005101,12
42003000511,12
42003000603,12
42003005110,12
42003005120,12
42003005130,12
42003005131,12
42003005140,12
42003005141,12
42003005150,12
42003005151,12
42003005160,12
42003005161,12
4200300G720,12
42003005170,12
42003005181,17
42003005191,17
42003005201,17
42003005210,17
42003005225,17
42003005230,17
42003005241,17
42003005261,17
42003005271,17
42003005281,17
42003005291,17
42003000530,12
42003005301,17
42003005310,17
42003005321,17
42003005331,17
42003005341,17
42003005351,17
42003005370,17
42003005378,17
42003005382,17
42003005390,17
42003000540,12
42003005400,17
42003005410,17
42003000542,12
42003005420,17
42003005430,17
42003005440,17
42003005450,17
42003005460,17
42003005470,17
42003005480,17
42003005490,17
42003005500,17
42003005510,17
42003005520,17
42003005521,17
42003005522,17
42003005530,17
42003005540,17
42003005550,17
42003005560,17
42003005561,17
42003005570,17
42003005580,17
42003005590,17
42003005600,17
42003005601,17
42003005602,17
42003005610,17
42003005620,17
42003005630,17
42003005640,17
42003005641,17
42003005642,17
42003000565,12
42003005650,17
42003005660,17
42003005670,17
42003005680,17
42003005681,17
42003005682,17
42003005683,17
42003005690,17
42003005700,17
42003000571,12
42003005710,17
42003005720,17
42003005721,17
42003005722,17
42003005730,17
42003005740,17
42003005750,17
42003000576,12
42003005760,17
42003005770,17
42003005780,17
42003005785,17
42003005788,17
42003005791,17
42003000582,12
42003005821,12
42003005830,12
42003005840,12
42003005870,12
42003005880,12
42003000591,12
42003005920,12
42003005940,12
42003000596,12
42003005960,12
42003005970,12
42003005980,12
